title_ru,title_en,rating_filmru,rating_users,rating_imdb,url
Смурфики 2,The Smurfs 2,6,3.6,5.3,https://www.film.ru/movies/smurfiki-2
Безумные преподы,Serial Teachers,6,5.7,5.2,https://www.film.ru/movies/prepody
Откровения лучших порномоделей,Aroused,6,5.2,5.2,https://www.film.ru/movies/aroused-otkroveniya-luchshih-pornomodeley
Иван Царевич и Серый Волк 2,20130+,6,5.6,5.2,https://www.film.ru/movies/ivan-carevich-i-seryy-volk-2
"Крепкий орешек. Хороший день, чтобы умереть",A Good Day to Die Hard,6,4.5,5.2,https://www.film.ru/movies/krepkiy-oreshek-horoshiy-den-chtoby-umeret
Прогулки с динозаврами 3D,Walking with Dinosaurs 3D,6,6.4,5.2,https://www.film.ru/movies/progulki-s-dinozavrami
Любовь или секс,Love & Air Sex,6,4.3,5.1,https://www.film.ru/movies/vospryanut-duhom
Приливы,The Hot Flashes,6,6.8,5.1,https://www.film.ru/movies/prilivy
Логово зверя,Haunt,6,6.1,5.1,https://www.film.ru/movies/pribezhische
Дом с паранормальными явлениями,A Haunted House,6,6.5,5.1,https://www.film.ru/movies/dom-s-paranormalnymi-yavleniyami
Снова 16,16 ans ou presque,6,6.5,5,https://www.film.ru/movies/snova-16
Адский бункер: Восстание спецназа,Outpost: Rise of the Spetsnaz,6,5.8,5,https://www.film.ru/movies/adskiy-bunker-vosstanie-specnaza
Короли танцпола 3D,Battle of the Year,6,6.7,5,https://www.film.ru/movies/koroli-tancpola-3d
Апокалипсис Эйприл,April Apocalypse,6,6.5,4.9,https://www.film.ru/movies/aprelskiy-apokalipsis
Человеческая раса,The Human Race,6,6.3,4.9,https://www.film.ru/movies/chelovecheskaya-rassa
Храброе сердце,Ritter Rost - Eisenhart & voll verbeult,6,5.9,4.8,https://www.film.ru/movies/hrabroe-serdce-3d
Навязчивые ритмы,Cadences obstinees,6,6.5,4.6,https://www.film.ru/movies/navyazchivye-ritmy
Антисоциалка,Antisocial,6,6.5,4.5,https://www.film.ru/movies/antisocialka
12 месяцев,2013,6,5.8,4.2,https://www.film.ru/movies/12-mesyacev
Темный мир: Равновесие,201312+,6,6.2,4.1,https://www.film.ru/movies/temnyy-mir-ravnovesie
Вечеринка,Afterparty,6,5.9,3.8,https://www.film.ru/movies/vecherinka-1
Белка и Стрелка: Лунные приключения,20130+,6,7.3,3.8,https://www.film.ru/movies/belka-i-strelka-lunnye-priklyucheniya
Одноклассники.ru: НаCLICKай удачу,2013,6,5.0,2.7,https://www.film.ru/movies/odnoklassnikiru
Излечить страх,2013,5,6.4,7.5,https://www.film.ru/movies/izlechit-strah
